,label,tweet,id,cleaned_text
0,1,"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",0,keyshawnswag lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
1,1,RT @digaveliavelife: Lol I be eatin da shit outta sum pussy. Ill never be a serial pussy eater tho.,1,rt digaveliavelife lol i be eatin da shit outta sum pussy ill never be a serial pussy eater tho
2,1,RT @QueenReenie_: How bitch how? &#8220;@_Vontethekidd: How is this ok? http://t.co/tBm1dIL55n&#8221;,2,rt queenreenie how bitch how 8220vontethekidd how is this ok 8221
3,2,Floppy bird chalmers over here taking after his hero LeBron,3,floppy bird chalmers over here taking after his hero lebron
4,1,"""Boolin' in the bando wit a few bitches""",4,boolin in the bando wit a few bitches
5,1,the mom acts like a bitch doe like ok ur losing ur memory but don't be a cunt to ur daughter,5,the mom acts like a bitch doe like ok ur losing ur memory but do not be a cunt to ur daughter
6,1,@_MckenzieNoel miss you bitch,6,mckenzienoel miss you bitch
7,1,@Mrste617 Where your white hoes at bro lol,7,mrste617 where your white hoes at bro lol
8,1,@SwagishSternes yea I listen to that hoe when I wake up,8,swagishsternes yea i listen to that hoe when i wake up
9,1,@BetoDavidThomas @JesseCanon lmfaooo oh well fuck that bitch,9,betodavidthomas jessecanon lmfaooo oh well fuck that bitch
10,1,"As I tweeted before any man telling me to go to the kitchen this season could tell his mom that, father probably wouldn't of left..bitch",10,as i tweeted before any man telling me to go to the kitchen this season could tell his mom that father probably would not of leftbitch
11,1,#nationaldoughnutday bitch GET AT ME &#127849; http://t.co/5FJForyY2e,11,nationaldoughnutday bitch get at me 127849 
12,1,my side bitch is my main bitch cuz my main bitch aint feelin me nomo...nomo,12,my side bitch is my main bitch cuz my main bitch aint feelin me nomonomo
13,1,RT @flemingryan5: @SavannaaSanford hoe,13,rt flemingryan5 savannaasanford hoe
14,1,All the snacks in this bitch &#128516;,14,all the snacks in this bitch 128516
15,1,I need to change myself first. Im retarded as fuck,15,i need to change myself first im retarded as fuck
16,0,Al noooo ...... Too late fuckin faggot ! Lmao,16,al noooo  too late fuckin faggot  lmao
